State,Expenditure
Alabama,7406975790
Alaska,2592461510
Arizona,20588622069
Arkansas,8975474497
California,1.25018E+11
Colorado,12424415086
Connecticut,10025149152
Delaware,3239518726
D.C.,3930666278
Florida,33273631634
Georgia,14876090399
Hawaii,3102654280
Idaho,3330143462
Illinois,26972593207
Indiana,17322051022
Iowa,6776825856
Kansas,4551471796
Kentucky,14876634041
Louisiana,15039040891
Maine,3952360568
Maryland,14844102111
Massachusetts,22023428461
Michigan,21695810626
Minnesota,16896991072
Mississippi,6141810881
Missouri,13440321022
Montana,2448226101
Nebraska,3481296640
Nevada,5271042050
New Hampshire,2611767747
New Jersey,21885952455
New Mexico,8545105920
New York,82564771704
North Carolina,19467101160
Ohio,31059865818
Oklahoma,7745616099
Oregon,13695755260
Pennsylvania,42294925403
Rhode Island,3583681400
South Carolina,7926296721
South Dakota,1320070094
Tennessee,12083213396
Texas,56569079099
Utah,4397543014
Vermont,2049357500
Virginia,18262708315
Washington,18213259692
West Virginia,5392745508
Wisconsin,11953068255
Wyoming,743710195
